bits,tdi,alpha,bin_lo,bin_hi,n_pixels,mean_signal_dn,pred_sigma,emp_sigma,ratio
msb,64,0.1,0.0,1.0,442584,0.5483413338661194,0.9757187366485596,0.9679366946220398,0.992024302482605
msb,64,0.1,1.0,2.0,602794,1.3457742929458618,0.9832826256752014,0.9757521748542786,0.9923415184020996
msb,64,0.1,2.0,4.0,794440,3.02030611038208,0.9928087592124939,0.9847092628479004,0.9918418526649475
msb,64,0.1,4.0,8.0,1855746,6.091523170471191,1.0129808187484741,1.004242181777954,0.9913733601570129
msb,64,0.1,8.0,16.0,1539289,10.318050384521484,1.0377981662750244,1.029116153717041,0.99163419008255
msb,64,0.1,16.0,32.0,8027,18.216270446777344,1.0709723234176636,1.063218355178833,0.9927598834037781
msb,64,0.3,0.0,1.0,137622,0.6193355917930603,0.9726271033287048,0.9647529721260071,0.9919042587280273
msb,64,0.3,1.0,2.0,112261,1.5756781101226807,0.9822368621826172,0.9733113646507263,0.9909130930900574
msb,64,0.3,2.0,4.0,515417,3.0066514015197754,0.9894548058509827,0.981044352054596,0.9914999008178711
msb,64,0.3,4.0,8.0,519341,5.78531551361084,1.0082051753997803,0.9998360872268677,0.9916990399360657
msb,64,0.3,8.0,16.0,1122041,11.886905670166016,1.034429907798767,1.0257648229599,0.9916233420372009
msb,64,0.3,16.0,32.0,2326747,23.585050582885742,1.0995105504989624,1.090166687965393,0.9915018081665039
msb,64,0.3,32.0,64.0,508464,37.87625503540039,1.1591073274612427,1.1493042707443237,0.9915425777435303
msb,64,0.3,64.0,128.0,987,70.92613983154297,1.3064802885055542,1.3004050254821777,0.9953498840332031
msb,64,1.0,0.0,1.0,2368,0.0,0.9700057506561279,0.9648367166519165,0.994671106338501
msb,64,1.0,1.0,2.0,21861,1.0,0.9744110107421875,0.9642912745475769,0.9896144866943359
msb,64,1.0,2.0,4.0,113393,2.312779426574707,0.9809942245483398,0.9728879928588867,0.9917367100715637
msb,64,1.0,4.0,8.0,176232,5.8866777420043945,1.0034714937210083,0.9949252009391785,0.9914832711219788
msb,64,1.0,8.0,16.0,578594,11.33297061920166,1.029998540878296,1.0208635330200195,0.991131067276001
msb,64,1.0,16.0,32.0,590006,23.598108291625977,1.092172622680664,1.0829267501831055,0.991534411907196
msb,64,1.0,32.0,64.0,1293127,46.733726501464844,1.1938273906707764,1.1837862730026245,0.9915891289710999
