bits,tdi,alpha,product_id,row0,col0,mean_clean_dn,mean_dim_dn,pred_sigma_mean,emp_sigma_mean,ratio
msb,64,0.1,ch2_ohr_nrp_20250516T1342347288_d_img_d18,57856,2560,66.5220947265625,6.652209281921387,1.0245332717895508,1.017297625541687,0.9929376244544983
msb,64,0.3,ch2_ohr_nrp_20250516T1342347288_d_img_d18,57856,2560,66.5220947265625,19.956628799438477,1.0866594314575195,1.0768237113952637,0.9909486770629883
msb,64,1.0,ch2_ohr_nrp_20250516T1342347288_d_img_d18,57856,2560,66.5220947265625,66.5220947265625,1.2902867794036865,1.281054973602295,0.9928451776504517
msb,64,0.1,ch2_ohr_nrp_20210401T2200364910_d_img_d18,66560,4864,41.46331787109375,4.146331787109375,0.9798990488052368,0.9720600843429565,0.9920002222061157
msb,64,0.3,ch2_ohr_nrp_20210401T2200364910_d_img_d18,66560,4864,41.46331787109375,12.438995361328125,1.0200576782226562,1.0109279155731201,0.9910497665405273
msb,64,1.0,ch2_ohr_nrp_20210401T2200364910_d_img_d18,66560,4864,41.46331787109375,41.46331787109375,1.1523425579071045,1.1431031227111816,0.9919820427894592
msb,64,0.1,ch2_ohr_nrp_20190906T1246532096_d_img_d18,4864,8704,47.26991271972656,4.726991653442383,1.0807089805603027,1.0748194456100464,0.9945502877235413
msb,64,0.3,ch2_ohr_nrp_20190906T1246532096_d_img_d18,4864,8704,47.26991271972656,14.180974006652832,1.1227177381515503,1.1179847717285156,0.995784342288971
msb,64,1.0,ch2_ohr_nrp_20190906T1246532096_d_img_d18,4864,8704,47.26991271972656,47.26991271972656,1.262067198753357,1.2524363994598389,0.9923690557479858
msb,64,0.1,ch2_ohr_nrp_20250516T1342347288_d_img_d18,3840,5888,73.92335510253906,7.392335414886475,1.0102548599243164,1.0005892515182495,0.9904325008392334
msb,64,0.3,ch2_ohr_nrp_20250516T1342347288_d_img_d18,3840,5888,73.92335510253906,22.1770076751709,1.0800697803497314,1.0720798969268799,0.9926024675369263
msb,64,1.0,ch2_ohr_nrp_20250516T1342347288_d_img_d18,3840,5888,73.92335510253906,73.92335510253906,1.306697130203247,1.2944178581237793,0.9906027913093567
msb,64,0.1,ch2_ohr_nrp_20210402T0155096873_d_img_d18,17152,9728,19.32781982421875,1.9327821731567383,0.9845317006111145,0.9765491485595703,0.9918920397758484
msb,64,0.3,ch2_ohr_nrp_20210402T0155096873_d_img_d18,17152,9728,19.32781982421875,5.798346519470215,1.0032668113708496,0.9948856830596924,0.9916461706161499
msb,64,1.0,ch2_ohr_nrp_20210402T0155096873_d_img_d18,17152,9728,19.32781982421875,19.32781982421875,1.066627860069275,1.0591721534729004,0.9930100440979004
msb,64,0.1,ch2_ohr_nrp_20210401T2200364910_d_img_d18,22784,6144,37.48094177246094,3.748094081878662,0.9966378211975098,0.9852287769317627,0.988552451133728
msb,64,0.3,ch2_ohr_nrp_20210401T2200364910_d_img_d18,22784,6144,37.48094177246094,11.244282722473145,1.0325225591659546,1.0237610340118408,0.9915144443511963
